     Index,            Real component,       Imaginary component,                 Magnitude
         0,    -2.670702074126600e+07,     0.000000000000000e+00,     2.670702074126600e+07
         1,    -2.639781550305522e+07,     0.000000000000000e+00,     2.639781550305522e+07
         2,    -2.609153196328801e+07,     0.000000000000000e+00,     2.609153196328801e+07
         3,    -2.578814925119778e+07,     0.000000000000000e+00,     2.578814925119778e+07
         4,    -2.519000405980488e+07,     0.000000000000000e+00,     2.519000405980488e+07
         5,    -2.548764680117619e+07,     0.000000000000000e+00,     2.548764680117619e+07
         6,    -2.489520056811098e+07,     0.000000000000000e+00,     2.489520056811098e+07
         7,    -2.431402993572405e+07,     0.000000000000000e+00,     2.431402993572405e+07
         8,    -2.460321595433621e+07,     0.000000000000000e+00,     2.460321595433621e+07
         9,    -2.402762231848571e+07,     0.000000000000000e+00,     2.402762231848571e+07
        10,    -2.374397299780038e+07,     0.000000000000000e+00,     2.374397299780038e+07
        11,    -2.346306195777587e+07,     0.000000000000000e+00,     2.346306195777587e+07
        12,    -2.318486927142734e+07,     0.000000000000000e+00,     2.318486927142734e+07
        13,    -2.263655969618940e+07,     0.000000000000000e+00,     2.263655969618940e+07
        14,    -2.290937510065009e+07,     0.000000000000000e+00,     2.290937510065009e+07
        15,    -2.236640345652084e+07,     0.000000000000000e+00,     2.236640345652084e+07
        16,    -2.209888669213945e+07,     0.000000000000000e+00,     2.209888669213945e+07
        17,    -2.183398997909285e+07,     0.000000000000000e+00,     2.183398997909285e+07
        18,    -2.157169392320105e+07,     0.000000000000000e+00,     2.157169392320105e+07
        19,    -2.131197921896063e+07,     0.000000000000000e+00,     2.131197921896063e+07
        20,    -2.105482664950604e+07,     0.000000000000000e+00,     2.105482664950604e+07
        21,    -2.054813385097150e+07,     0.000000000000000e+00,     2.054813385097150e+07
        22,    -2.080021708658326e+07,     0.000000000000000e+00,     2.080021708658326e+07
        23,    -2.029855326909577e+07,     0.000000000000000e+00,     2.029855326909577e+07
        24,    -1.980685528826826e+07,     0.000000000000000e+00,     1.980685528826826e+07
        25,    -2.005145884004795e+07,     0.000000000000000e+00,     2.005145884004795e+07
        26,    -1.956467691773092e+07,     0.000000000000000e+00,     1.956467691773092e+07
        27,    -1.932492864201273e+07,     0.000000000000000e+00,     1.932492864201273e+07
        28,    -1.908759195168763e+07,     0.000000000000000e+00,     1.908759195168763e+07
        29,    -1.885264842552316e+07,     0.000000000000000e+00,     1.885264842552316e+07
        30,    -1.862007973042624e+07,     0.000000000000000e+00,     1.862007973042624e+07
        31,    -1.838986762137881e+07,     0.000000000000000e+00,     1.838986762137881e+07
        32,    -1.816199394137983e+07,     0.000000000000000e+00,     1.816199394137983e+07
        33,    -1.793644062137898e+07,     0.000000000000000e+00,     1.793644062137898e+07
        34,    -1.749222322453452e+07,     0.000000000000000e+00,     1.749222322453452e+07
        35,    -1.771318968021194e+07,     0.000000000000000e+00,     1.771318968021194e+07
        36,    -1.727352344875007e+07,     0.000000000000000e+00,     1.727352344875007e+07
        37,    -1.684285315280123e+07,     0.000000000000000e+00,     1.684285315280123e+07
        38,    -1.705707263494264e+07,     0.000000000000000e+00,     1.705707263494264e+07
        39,    -1.663084745954579e+07,     0.000000000000000e+00,     1.663084745954579e+07
        40,    -1.621340770577149e+07,     0.000000000000000e+00,     1.621340770577149e+07
        41,    -1.642103809985216e+07,     0.000000000000000e+00,     1.642103809985216e+07
        42,    -1.600793899665198e+07,     0.000000000000000e+00,     1.600793899665198e+07
        43,    -1.580461477905628e+07,     0.000000000000000e+00,     1.580461477905628e+07
        44,    -1.560341794667743e+07,     0.000000000000000e+00,     1.560341794667743e+07
        45,    -1.540433148025338e+07,     0.000000000000000e+00,     1.540433148025338e+07
        46,    -1.501242200292129e+07,     0.000000000000000e+00,     1.501242200292129e+07
        47,    -1.520733844748000e+07,     0.000000000000000e+00,     1.520733844748000e+07
        48,    -1.481956538791822e+07,     0.000000000000000e+00,     1.481956538791822e+07
        49,    -1.443996504527118e+07,     0.000000000000000e+00,     1.443996504527118e+07
        50,    -1.462875193049650e+07,     0.000000000000000e+00,     1.462875193049650e+07
        51,    -1.425318823335024e+07,     0.000000000000000e+00,     1.425318823335024e+07
        52,    -1.406840508223651e+07,     0.000000000000000e+00,     1.406840508223651e+07
        53,    -1.388559926572658e+07,     0.000000000000000e+00,     1.388559926572658e+07
        54,    -1.370475454380957e+07,     0.000000000000000e+00,     1.370475454380957e+07
        55,    -1.352585476256393e+07,     0.000000000000000e+00,     1.352585476256393e+07
        56,    -1.334888385404956e+07,     0.000000000000000e+00,     1.334888385404956e+07
        57,    -1.317382583620196e+07,     0.000000000000000e+00,     1.317382583620196e+07
        58,    -1.300066481272325e+07,     0.000000000000000e+00,     1.300066481272325e+07
        59,    -1.265997059183846e+07,     0.000000000000000e+00,     1.265997059183846e+07
        60,    -1.282938497296922e+07,     0.000000000000000e+00,     1.282938497296922e+07
        61,    -1.249240602965571e+07,     0.000000000000000e+00,     1.249240602965571e+07
        62,    -1.216276422986969e+07,     0.000000000000000e+00,     1.216276422986969e+07
        63,    -1.232667573205709e+07,     0.000000000000000e+00,     1.232667573205709e+07
        64,    -1.200065613899376e+07,     0.000000000000000e+00,     1.200065613899376e+07
