       Index, mode (cm^-1),   degeneracy,     IR intensity (km/mol),                  A (s^-1),    B (cm^3 * J^-1 * s^-2),         P (J * s * cm^-3),              B * P (s^-1)
           0,           47,            3,     1.118100000000000e+00,     3.090191651522618e-04,     1.787293853400945e+23,     8.702358631818287e-27,     1.555367209273949e-03
           1,           66,            3,     0.000000000000000e+00,     0.000000000000000e+00,     0.000000000000000e+00,     1.652129010803585e-26,     0.000000000000000e+00
           2,           77,            3,     2.940000000000000e-02,     2.180910444277343e-05,     2.868598569499772e+21,     2.199403828118908e-26,     6.309206675094223e-05
           3,          169,            2,     1.000000000000000e-04,     3.573406810466094e-07,     4.445559913285080e+18,     8.749953989229756e-26,     3.889844469760867e-07
           4,          227,            3,     0.000000000000000e+00,     0.000000000000000e+00,     0.000000000000000e+00,     1.391887538642764e-25,     0.000000000000000e+00
           5,          233,            2,     0.000000000000000e+00,     0.000000000000000e+00,     0.000000000000000e+00,     1.447130605997788e-25,     0.000000000000000e+00
           6,          258,            1,     0.000000000000000e+00,     0.000000000000000e+00,     0.000000000000000e+00,     1.678223467921465e-25,     0.000000000000000e+00
           7,          305,            3,     1.353900000000000e+00,     1.575779036417463e-02,     3.335031353294549e+22,     2.108029929514314e-25,     7.030345908613535e-03
           8,          326,            1,     1.000000000000000e-04,     1.329671167638019e-06,     2.304600077745947e+18,     2.294298379346333e-25,     5.287440223413959e-07
           9,          410,            3,     5.000000000000000e-04,     1.051590779103236e-05,     9.162190552989986e+18,     2.974122066564744e-25,     2.724947310171855e-06
          10,          438,            3,     6.840210000000000e+01,     1.641824407669082e+00,     1.173298449836152e+24,     3.170851971242254e-25,     3.720355702518444e-01
          11,          495,            3,     5.760000000000000e-02,     1.765801709152502e-03,     8.742395640380260e+20,     3.516622589584264e-25,     3.074370599604421e-04
          12,          498,            3,     7.612641000000000e+02,     2.362126145660540e+01,     1.148468741202278e+25,     3.532692757585970e-25,     4.057187204359164e+00
          13,         1636,            3,     2.386614000000000e+02,     7.992043409148022e+01,     1.096003792202664e+24,     1.330773256998116e-25,     1.458532536231825e-01
          14,         1637,            2,     2.990000000000000e-02,     1.002484343590105e-02,     1.372257715199807e+20,     1.328075066897260e-25,     1.822461256914264e-05
          15,         1641,            1,     1.800000000000000e-03,     6.064551923712245e-04,     8.240946530294463e+18,     1.317322528241003e-25,     1.085598451838642e-06
          16,         3694,            2,     3.370000000000000e-02,     5.753508176687589e-02,     6.854032857101387e+19,     5.473528644341475e-28,     3.751574517260208e-08
          17,         3695,            3,     2.197134000000000e+02,     3.753137553655073e+02,     4.467404468289997e+23,     5.456893996962537e-28,     2.437815262501530e-04
          18,         3700,            1,     5.000000000000000e-04,     8.564115268247056e-04,     1.015269763979971e+18,     5.374458311169783e-28,     5.456525021101539e-10
          19,         3766,            3,     4.860000000000000e-01,     8.623944485293696e-01,     9.695475781140648e+20,     4.393911757004262e-28,     4.260106502450398e-07
          20,         3767,            3,     3.522786000000000e+02,     6.254412969904002e+02,     7.025929922939315e+23,     4.380490188695648e-28,     3.077701709389884e-04
