Vibrational energies (cm^-1), IR intensities (km/mol), Degeneracies
48,	  1.1181,	  3
68,	  0,	          3
79,	  0.0294,	  3
173,	  0.0001,	  2
232,	  0,	          3
238,	  0,	          2
264,	  0,	          1
312,	  1.3539,	  3
333,	  0.0001,	  1
419,	  0.0005,	  3
447,	  68.4021,	  3
506,	  0.0576,	  3
509, 	  761.2641,	  3
1670,	  238.6614,	  3
1671,	  0.0299,	  2
1675,	  0.0018,	  1
3770,	  0.0337,	  2
3771,	  219.7134,	  3
3776,	  0.0005,	  1
3843,	  0.486,	  3
3844,	  352.2786,	  3
